,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
729159,278027,5029955,Closed,currency 1,-756,0,-572.0,-571.0,,0,24795.0,0.0,0.0,0.0,Consumer credit,-570,
729160,278027,5029957,Closed,currency 1,-2726,0,-899.0,-1690.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-475,
729161,278027,5029958,Closed,currency 1,-1312,0,514.0,-195.0,,0,445095.0,0.0,0.0,0.0,Consumer credit,-193,
729162,278027,5029959,Active,currency 1,-1274,0,-178.0,,,0,135000.0,110871.0,0.0,0.0,Credit card,-27,
729163,278027,5029960,Active,currency 1,-195,0,1631.0,,,0,324000.0,306684.0,0.0,0.0,Consumer credit,-27,
729164,278027,5029961,Closed,currency 1,-966,0,-599.0,-877.0,,0,23071.5,0.0,,0.0,Consumer credit,-875,
729165,278027,5029962,Closed,currency 1,-931,0,-657.0,-657.0,0.0,0,34875.0,0.0,0.0,0.0,Consumer credit,-657,
729166,278027,5029963,Active,currency 1,-375,0,,,0.0,0,288000.0,267651.0,20346.48,0.0,Credit card,-7,
729167,278027,5029964,Active,currency 1,-30,0,,,0.0,0,90000.0,76230.0,13770.0,0.0,Credit card,-17,
1708509,278027,5029956,Closed,currency 1,-1679,0,147.0,-1264.0,,0,270000.0,0.0,0.0,0.0,Consumer credit,-475,
