,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
17195,1958619,112067,-19,36.0,31.0,Active,0,0
239678,2069588,112067,-65,12.0,6.0,Active,0,0
402030,1958619,112067,-5,19.0,0.0,Completed,0,0
407803,1958619,112067,-12,36.0,23.0,Active,4,4
463563,1958619,112067,-22,36.0,33.0,Active,0,0
519159,1958619,112067,-7,36.0,18.0,Active,0,0
698074,2287777,112067,-24,1.0,0.0,Completed,0,0
729636,2069588,112067,-70,12.0,11.0,Active,0,0
940979,1958619,112067,-11,36.0,22.0,Active,0,0
996294,2069588,112067,-66,12.0,7.0,Active,0,0
1759745,1958619,112067,-8,36.0,19.0,Active,0,0
2071947,2069588,112067,-69,12.0,10.0,Active,0,0
2365442,1958619,112067,-6,19.0,0.0,Active,0,0
2411708,2069588,112067,-68,12.0,9.0,Active,0,0
3001976,1958619,112067,-10,36.0,21.0,Active,0,0
3176799,2069588,112067,-67,12.0,8.0,Active,0,0
3306022,1958619,112067,-24,36.0,36.0,Active,0,0
3310678,1958619,112067,-20,36.0,32.0,Active,0,0
3310778,1958619,112067,-14,36.0,25.0,Active,0,0
3514024,1958619,112067,-9,36.0,20.0,Active,0,0
3514497,1958619,112067,-15,36.0,26.0,Active,0,0
3565288,1958619,112067,-13,36.0,24.0,Active,0,0
3607580,1958619,112067,-16,36.0,27.0,Active,0,0
3720033,2287777,112067,-25,6.0,6.0,Active,0,0
4154173,1958619,112067,-21,36.0,33.0,Active,0,0
4353466,2069588,112067,-71,12.0,12.0,Active,0,0
4850248,2069588,112067,-62,12.0,3.0,Active,0,0
5027283,2069588,112067,-64,12.0,5.0,Active,16,16
5365201,1958619,112067,-23,36.0,35.0,Active,0,0
7798136,2069588,112067,-60,12.0,1.0,Active,0,0
7828345,2069588,112067,-63,12.0,4.0,Active,0,0
8166202,1958619,112067,-17,36.0,28.0,Active,1,1
8346541,1958619,112067,-18,36.0,29.0,Active,1,1
9813981,2069588,112067,-61,12.0,2.0,Active,0,0
