,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
52351,1117489,383390,-46,18.0,7.0,Active,0,0
677485,2723155,383390,-83,9.0,6.0,Active,0,0
684698,2646224,383390,-47,18.0,16.0,Active,0,0
701899,1117489,383390,-53,18.0,14.0,Active,0,0
758864,1784817,383390,-25,14.0,0.0,Completed,0,0
773975,1117489,383390,-42,19.0,3.0,Active,0,0
864901,1557144,383390,-13,42.0,30.0,Active,0,0
886590,2723155,383390,-80,9.0,3.0,Active,0,0
949704,1557144,383390,-11,42.0,28.0,Active,0,0
1069112,1557144,383390,-14,42.0,31.0,Active,0,0
1119132,1557144,383390,-1,42.0,17.0,Active,0,0
1120620,1557144,383390,-18,42.0,35.0,Active,0,0
1179878,2646224,383390,-42,19.0,11.0,Active,0,0
1321937,2646224,383390,-46,18.0,15.0,Active,0,0
1602149,1557144,383390,-17,42.0,34.0,Active,0,0
1608282,1557144,383390,-16,42.0,33.0,Active,0,0
1608341,1557144,383390,-10,42.0,27.0,Active,0,0
1823063,2723155,383390,-82,9.0,5.0,Active,0,0
1866437,1784817,383390,-32,48.0,41.0,Active,0,0
1888197,1557144,383390,-4,42.0,20.0,Active,0,0
1911261,1784817,383390,-27,48.0,36.0,Active,0,0
1929773,1117489,383390,-47,18.0,8.0,Active,0,0
1935163,2646224,383390,-40,19.0,9.0,Active,0,0
2385211,1557144,383390,-20,42.0,37.0,Active,0,0
2466926,1557144,383390,-12,42.0,29.0,Active,0,0
2507124,1117489,383390,-54,18.0,15.0,Active,0,0
2519567,1117489,383390,-40,19.0,1.0,Active,0,0
2741771,1557144,383390,-24,42.0,41.0,Active,0,0
2742418,1557144,383390,-2,42.0,19.0,Active,0,0
2825029,1117489,383390,-48,18.0,9.0,Active,0,0
2829524,1784817,383390,-33,48.0,42.0,Active,0,0
2848791,2646224,383390,-48,18.0,17.0,Active,0,0
2856616,1557144,383390,-19,42.0,36.0,Active,0,0
3058625,2723155,383390,-81,9.0,4.0,Active,0,0
3167032,1557144,383390,-9,42.0,26.0,Active,0,0
3306047,1784817,383390,-29,48.0,38.0,Active,0,0
3324733,1557144,383390,-21,42.0,38.0,Active,0,0
3379289,1557144,383390,-23,42.0,40.0,Active,0,0
3396231,1557144,383390,-7,42.0,24.0,Active,0,0
3421555,1784817,383390,-31,48.0,40.0,Active,0,0
3514591,1784817,383390,-30,48.0,39.0,Active,0,0
3570141,1557144,383390,-15,42.0,32.0,Active,0,0
3628265,1784817,383390,-34,48.0,43.0,Active,0,0
3737383,1557144,383390,-25,42.0,42.0,Active,0,0
3822060,2723155,383390,-84,9.0,7.0,Active,0,0
3831213,1117489,383390,-39,19.0,0.0,Completed,0,0
4104182,1784817,383390,-26,48.0,35.0,Active,0,0
4117992,1557144,383390,-5,42.0,22.0,Active,0,0
4404366,1784817,383390,-36,48.0,46.0,Active,0,0
4533226,1557144,383390,-3,42.0,19.0,Active,0,0
4675081,2646224,383390,-38,12.0,0.0,Completed,0,0
4912535,1557144,383390,-6,42.0,23.0,Active,0,0
5034656,1557144,383390,-8,42.0,25.0,Active,0,0
5066196,2723155,383390,-77,9.0,0.0,Completed,0,0
5133373,1117489,383390,-52,18.0,13.0,Active,0,0
5136755,1117489,383390,-45,18.0,6.0,Active,0,0
5317853,1117489,383390,-44,18.0,5.0,Active,0,0
5366777,1784817,383390,-28,48.0,37.0,Active,0,0
5370131,1117489,383390,-41,19.0,2.0,Active,0,0
5481327,2723155,383390,-78,9.0,1.0,Active,0,0
5515232,2723155,383390,-79,9.0,2.0,Active,0,0
5544485,1117489,383390,-49,18.0,10.0,Active,0,0
5834194,2646224,383390,-43,18.0,12.0,Active,0,0
5863761,2646224,383390,-41,19.0,10.0,Active,0,0
5887861,2687089,383390,-66,14.0,9.0,Active,0,0
6068515,2687089,383390,-68,14.0,11.0,Active,0,0
6697667,1117489,383390,-43,18.0,4.0,Active,0,0
7145664,2687089,383390,-67,14.0,10.0,Active,0,0
7235934,2723155,383390,-85,9.0,8.0,Active,0,0
7348562,2687089,383390,-58,14.0,1.0,Active,0,0
7467111,2646224,383390,-45,18.0,14.0,Active,0,0
7544462,2646224,383390,-39,19.0,8.0,Active,0,0
7620134,2687089,383390,-70,14.0,13.0,Active,0,0
7622989,2687089,383390,-64,14.0,7.0,Active,0,0
7963388,1784817,383390,-37,48.0,47.0,Active,0,0
8020919,2687089,383390,-57,14.0,0.0,Completed,0,0
8022007,2687089,383390,-62,14.0,5.0,Active,0,0
8043490,1784817,383390,-38,48.0,48.0,Active,0,0
8079415,1557144,383390,-22,42.0,39.0,Active,0,0
8127542,2687089,383390,-63,14.0,6.0,Active,0,0
8218937,1784817,383390,-35,48.0,44.0,Active,0,0
8494487,2646224,383390,-44,18.0,13.0,Active,0,0
8783743,1117489,383390,-55,19.0,17.0,Active,0,0
8789314,1117489,383390,-56,18.0,17.0,Active,0,0
8851525,2687089,383390,-71,14.0,14.0,Active,0,0
8991895,1117489,383390,-50,18.0,11.0,Active,0,0
9047215,1117489,383390,-57,18.0,18.0,Active,0,0
9061348,2723155,383390,-86,9.0,9.0,Active,0,0
9118590,2687089,383390,-65,14.0,8.0,Active,0,0
9170110,2687089,383390,-59,14.0,2.0,Active,0,0
9244541,2687089,383390,-60,14.0,3.0,Active,0,0
9286448,1117489,383390,-51,18.0,12.0,Active,0,0
9533646,2646224,383390,-49,18.0,18.0,Active,0,0
9858781,2687089,383390,-69,14.0,12.0,Active,0,0
9912624,2687089,383390,-61,14.0,4.0,Active,0,0
