,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
7647616,1366861,335249,2.0,4,-1698.0,-1708.0,23703.075,23703.075
7673898,1366861,335249,2.0,3,-1728.0,-1738.0,23703.075,23703.075
7679445,2716898,335249,1.0,9,-1185.0,-1217.0,24643.8,24643.8
7708104,1711860,335249,1.0,2,-1961.0,-1969.0,4511.025,4511.025
7744425,2716898,335249,1.0,14,-1035.0,-1063.0,24643.8,24643.8
7763407,1711860,335249,3.0,8,-1781.0,-1798.0,19684.71,19684.71
7793909,2716898,335249,1.0,34,-435.0,-447.0,24643.8,24643.8
7881322,2746137,335249,1.0,3,-2143.0,-2148.0,18822.285,18822.285
7885498,1711860,335249,1.0,7,-1811.0,-1816.0,4511.025,4511.025
7945963,2716898,335249,1.0,28,-615.0,-616.0,24643.8,24643.8
7954301,1366861,335249,2.0,8,-1578.0,-1578.0,23703.075,23703.075
7956680,2716898,335249,1.0,30,-555.0,-561.0,24643.8,24643.8
7986083,2716898,335249,1.0,24,-735.0,-742.0,24643.8,24643.8
8050828,2716898,335249,1.0,13,-1065.0,-1091.0,24643.8,24643.8
8073007,2746137,335249,1.0,7,-2023.0,-2030.0,18822.285,18822.285
8124275,2746137,335249,1.0,10,-1933.0,-1940.0,18822.285,18822.285
8319301,2716898,335249,1.0,8,-1215.0,-1245.0,24643.8,24643.8
8343932,2716898,335249,1.0,5,-1305.0,-1336.0,24643.8,24643.8
8354990,1366861,335249,2.0,7,-1608.0,-1616.0,23703.075,23703.075
8379111,2716898,335249,1.0,17,-945.0,-970.0,24643.8,24643.8
8396165,2330995,335249,2.0,3,-1384.0,-1423.0,15275.52,9433.935
8481157,2746137,335249,1.0,4,-2113.0,-2120.0,18822.285,18822.285
8494268,2716898,335249,1.0,23,-765.0,-780.0,24643.8,24643.8
8530952,2746137,335249,1.0,12,-1873.0,-1878.0,18372.195,18372.195
8586761,2716898,335249,2.0,38,-315.0,-336.0,233951.76,233951.76
8598972,2716898,335249,1.0,35,-405.0,-414.0,24643.8,24643.8
8638136,1366861,335249,2.0,5,-1668.0,-1674.0,23703.075,23703.075
8711493,2716898,335249,1.0,15,-1005.0,-1029.0,24643.8,24643.8
8736665,2716898,335249,1.0,1,-1425.0,-1434.0,24643.8,24643.8
8785209,2716898,335249,1.0,20,-855.0,-876.0,24643.8,24643.8
8807489,2716898,335249,1.0,2,-1395.0,-1423.0,24643.8,24643.8
